lich_su_id,user_id,book_id,ngay_bat_dau,ngay_ket_thuc,diem_danh_gia,review_text,trang_thai,phan_tram_hoan_thanh,sentiment,reading_id,so_trang_doc,thoi_gian_doc_phut
46.0,5,8,2024-05-01,2024-05-08,5.0,Cực kỳ cuốn hút,Chưa bắt đầu,54.0,Positive,,,
47.0,5,44,2024-02-10,2024-02-17,3.0,Ổn áp,Chưa bắt đầu,81.0,Negative,,,
48.0,9,50,2024-04-13,2024-04-17,4.0,Cực kỳ cuốn hút,Đang đọc,86.0,Positive,,,
49.0,10,24,2024-04-04,2024-04-07,5.0,Đáng đọc,Đang đọc,38.0,Positive,,,
50.0,6,44,2024-12-17,2024-12-22,5.0,Đáng đọc,Bỏ dở,36.0,Positive,,,
51.0,9,43,2024-02-02,2024-02-10,2.0,Hơi chán,Đã đọc xong,42.0,Negative,,,
52.0,7,12,2024-05-09,2024-05-15,2.0,Nội dung yếu,Đã đọc xong,41.0,Negative,,,
53.0,4,43,2024-01-05,2024-01-15,4.0,Đáng đọc,Chưa bắt đầu,94.0,Positive,,,
54.0,5,11,2024-06-09,2024-06-15,3.0,Ổn áp,Bỏ dở,77.0,Negative,,,
55.0,4,1,2024-09-20,2024-09-30,2.0,Không hay lắm,Bỏ dở,76.0,Negative,,,
56.0,7,3,2024-11-18,2024-11-24,2.0,Nội dung yếu,Bỏ dở,97.0,Negative,,,
57.0,5,9,2024-05-18,2024-05-23,5.0,Rất hay,Bỏ dở,88.0,Positive,,,
58.0,8,34,2024-06-19,2024-06-25,3.0,Ổn áp,Chưa bắt đầu,93.0,Negative,,,
59.0,6,36,2024-04-08,2024-04-15,2.0,Nội dung yếu,Chưa bắt đầu,70.0,Negative,,,
60.0,8,2,2024-12-15,2024-12-24,1.0,Không hay lắm,Chưa bắt đầu,61.0,Negative,,,
61.0,5,44,2024-03-10,2024-03-17,1.0,Nội dung yếu,Đã đọc xong,58.0,Negative,,,
62.0,10,26,2024-07-07,2024-07-17,1.0,Hơi chán,Chưa bắt đầu,71.0,Negative,,,
63.0,6,46,2024-03-13,2024-03-18,3.0,Ổn áp,Đang đọc,78.0,Positive,,,
64.0,10,24,2024-11-08,2024-11-11,2.0,Không hay lắm,Chưa bắt đầu,35.0,Negative,,,
65.0,8,10,2024-10-13,2024-10-20,1.0,Không hay lắm,Đang đọc,57.0,Negative,,,
66.0,2,9,2024-08-02,2024-08-12,2.0,Hơi chán,Bỏ dở,65.0,Negative,,,
67.0,3,35,2024-07-11,2024-07-18,3.0,Ổn áp,Bỏ dở,43.0,Negative,,,
68.0,10,16,2024-05-02,2024-05-09,4.0,Đáng đọc,Bỏ dở,73.0,Positive,,,
69.0,7,22,2024-09-15,2024-09-25,2.0,Không hay lắm,Đã đọc xong,92.0,Negative,,,
70.0,7,1,2024-11-15,2024-11-19,5.0,Rất hay,Chưa bắt đầu,42.0,Positive,,,
71.0,2,40,2024-03-06,2024-03-14,1.0,Nội dung yếu,Đã đọc xong,44.0,Negative,,,
72.0,10,14,2024-08-12,2024-08-22,2.0,Nội dung yếu,Đã đọc xong,80.0,Negative,,,
73.0,10,39,2024-12-07,2024-12-14,1.0,Không hay lắm,Bỏ dở,66.0,Negative,,,
74.0,3,14,2024-04-17,2024-04-21,3.0,Ổn áp,Chưa bắt đầu,34.0,Positive,,,
75.0,2,6,2024-04-03,2024-04-13,4.0,Đáng đọc,Đã đọc xong,80.0,Positive,,,
76.0,6,24,2024-08-06,2024-08-14,1.0,Nội dung yếu,Chưa bắt đầu,68.0,Negative,,,
77.0,2,13,2024-07-12,2024-07-19,1.0,Nội dung yếu,Đã đọc xong,55.0,Negative,,,
78.0,6,18,2024-07-12,2024-07-22,5.0,Rất hay,Đang đọc,63.0,Positive,,,
79.0,8,48,2024-09-15,2024-09-23,2.0,Không hay lắm,Đã đọc xong,54.0,Negative,,,
80.0,9,17,2024-08-07,2024-08-13,2.0,Không hay lắm,Bỏ dở,33.0,Negative,,,
81.0,8,50,2024-10-11,2024-10-16,4.0,Rất hay,Đang đọc,77.0,Positive,,,
82.0,5,27,2024-02-19,2024-02-28,3.0,Ổn áp,Chưa bắt đầu,93.0,Positive,,,
83.0,1,28,2024-01-19,2024-01-29,3.0,Ổn áp,Đang đọc,78.0,Positive,,,
84.0,6,4,2024-11-06,2024-11-10,5.0,Cực kỳ cuốn hút,Đã đọc xong,34.0,Positive,,,
85.0,1,49,2024-06-15,2024-06-18,1.0,Hơi chán,Đã đọc xong,29.0,Negative,,,
86.0,8,31,2024-04-03,2024-04-08,2.0,Nội dung yếu,Đã đọc xong,67.0,Negative,,,
87.0,8,13,2024-06-16,2024-06-22,2.0,Không hay lắm,Bỏ dở,87.0,Negative,,,
88.0,10,6,2024-04-10,2024-04-18,5.0,Cực kỳ cuốn hút,Đã đọc xong,79.0,Positive,,,
89.0,5,35,2024-07-05,2024-07-08,3.0,Ổn áp,Chưa bắt đầu,86.0,Negative,,,
90.0,3,18,2024-01-05,2024-01-13,5.0,Đáng đọc,Chưa bắt đầu,61.0,Positive,,,
91.0,9,44,2024-02-01,2024-02-10,3.0,Ổn áp,Bỏ dở,51.0,Negative,,,
92.0,4,21,2024-09-12,2024-09-18,4.0,Rất hay,Bỏ dở,71.0,Positive,,,
93.0,2,24,2024-10-11,2024-10-16,2.0,Không hay lắm,Đã đọc xong,71.0,Negative,,,
94.0,7,2,2024-02-15,2024-02-21,4.0,Cực kỳ cuốn hút,Chưa bắt đầu,31.0,Positive,,,
95.0,5,48,2024-03-02,2024-03-09,2.0,Hơi chán,Bỏ dở,90.0,Negative,,,
96.0,3,37,2024-10-09,2024-10-18,2.0,Không hay lắm,Đã đọc xong,83.0,Negative,,,
97.0,6,24,2024-08-01,2024-08-04,1.0,Không hay lắm,Chưa bắt đầu,86.0,Negative,,,
98.0,5,23,2024-11-03,2024-11-11,2.0,Nội dung yếu,Chưa bắt đầu,53.0,Negative,,,
99.0,3,42,2024-09-20,2024-09-30,2.0,Hơi chán,Đang đọc,52.0,Negative,,,
100.0,9,44,2024-01-05,2024-01-14,2.0,Không hay lắm,Chưa bắt đầu,60.0,Negative,,,
101.0,7,9,2022-08-15,2022-08-21,4.0,Rất hay,Chưa bắt đầu,73.0,Positive,,,
102.0,1,19,2022-08-16,2022-08-22,1.0,Không hay lắm,Đang đọc,54.0,Negative,,,
103.0,3,1,2022-03-16,2022-03-23,1.0,Nội dung yếu,Đã đọc xong,73.0,Negative,,,
104.0,3,39,2022-10-13,2022-10-23,2.0,Nội dung yếu,Bỏ dở,12.0,Negative,,,
105.0,6,28,2022-03-15,2022-03-24,2.0,Hơi chán,Bỏ dở,12.0,Negative,,,
106.0,9,20,2022-05-12,2022-05-18,2.0,Hơi chán,Bỏ dở,43.0,Negative,,,
107.0,1,35,2022-02-02,2022-02-10,4.0,Đáng đọc,Đang đọc,100.0,Positive,,,
108.0,1,32,2022-09-19,2022-09-23,1.0,Không hay lắm,Đang đọc,29.0,Negative,,,
109.0,8,33,2022-07-14,2022-07-17,5.0,Đáng đọc,Chưa bắt đầu,86.0,Positive,,,
110.0,2,14,2022-11-08,2022-11-13,4.0,Cực kỳ cuốn hút,Bỏ dở,81.0,Positive,,,
111.0,6,34,2022-08-09,2022-08-16,4.0,Đáng đọc,Đã đọc xong,66.0,Positive,,,
112.0,6,43,2022-02-18,2022-02-26,3.0,Ổn áp,Bỏ dở,65.0,Positive,,,
113.0,2,14,2022-12-16,2022-12-20,4.0,Rất hay,Bỏ dở,29.0,Positive,,,
114.0,10,2,2022-04-08,2022-04-15,4.0,Rất hay,Chưa bắt đầu,76.0,Positive,,,
115.0,6,34,2022-10-03,2022-10-10,1.0,Không hay lắm,Đã đọc xong,67.0,Negative,,,
116.0,8,22,2022-03-16,2022-03-20,5.0,Cực kỳ cuốn hút,Đã đọc xong,43.0,Positive,,,
117.0,6,15,2022-08-05,2022-08-08,5.0,Rất hay,Đã đọc xong,84.0,Positive,,,
118.0,8,33,2022-07-14,2022-07-17,2.0,Nội dung yếu,Đang đọc,19.0,Negative,,,
119.0,3,11,2022-02-04,2022-02-10,4.0,Đáng đọc,Đang đọc,46.0,Positive,,,
120.0,7,7,2022-02-01,2022-02-05,4.0,Đáng đọc,Đã đọc xong,27.0,Positive,,,
121.0,5,31,2022-04-05,2022-04-08,5.0,Cực kỳ cuốn hút,Bỏ dở,17.0,Positive,,,
122.0,7,31,2022-10-14,2022-10-22,1.0,Hơi chán,Đã đọc xong,87.0,Negative,,,
123.0,4,11,2022-12-08,2022-12-15,1.0,Hơi chán,Đang đọc,48.0,Negative,,,
124.0,7,46,2022-05-10,2022-05-19,3.0,Ổn áp,Đã đọc xong,23.0,Positive,,,
125.0,4,39,2022-10-10,2022-10-14,4.0,Đáng đọc,Bỏ dở,60.0,Positive,,,
126.0,2,34,2022-05-06,2022-05-14,2.0,Nội dung yếu,Bỏ dở,43.0,Negative,,,
127.0,10,17,2022-08-15,2022-08-21,5.0,Rất hay,Đã đọc xong,95.0,Positive,,,
128.0,6,27,2022-06-01,2022-06-10,3.0,Ổn áp,Đã đọc xong,38.0,Negative,,,
129.0,2,20,2022-06-15,2022-06-22,4.0,Đáng đọc,Bỏ dở,21.0,Positive,,,
130.0,6,24,2022-07-14,2022-07-18,5.0,Đáng đọc,Bỏ dở,77.0,Positive,,,
131.0,10,8,2022-01-01,2022-01-05,2.0,Hơi chán,Bỏ dở,100.0,Negative,,,
132.0,1,26,2022-04-10,2022-04-17,4.0,Cực kỳ cuốn hút,Bỏ dở,32.0,Positive,,,
133.0,1,16,2022-03-15,2022-03-21,3.0,Ổn áp,Chưa bắt đầu,19.0,Negative,,,
134.0,9,41,2022-10-18,2022-10-26,5.0,Rất hay,Chưa bắt đầu,49.0,Positive,,,
135.0,8,12,2022-01-05,2022-01-10,1.0,Nội dung yếu,Đã đọc xong,67.0,Negative,,,
136.0,1,26,2022-07-14,2022-07-19,3.0,Ổn áp,Đang đọc,79.0,Negative,,,
137.0,4,44,2022-12-07,2022-12-13,5.0,Cực kỳ cuốn hút,Chưa bắt đầu,53.0,Positive,,,
138.0,5,44,2022-12-05,2022-12-11,1.0,Không hay lắm,Chưa bắt đầu,57.0,Negative,,,
139.0,9,4,2022-01-05,2022-01-12,5.0,Đáng đọc,Chưa bắt đầu,64.0,Positive,,,
140.0,10,22,2022-10-06,2022-10-15,4.0,Cực kỳ cuốn hút,Đang đọc,23.0,Positive,,,
141.0,9,1,2022-10-14,2022-10-19,2.0,Không hay lắm,Chưa bắt đầu,63.0,Negative,,,
142.0,6,35,2022-08-14,2022-08-22,5.0,Đáng đọc,Đã đọc xong,37.0,Positive,,,
143.0,2,4,2022-09-15,2022-09-21,3.0,Ổn áp,Bỏ dở,90.0,Positive,,,
144.0,7,13,2022-03-12,2022-03-22,3.0,Ổn áp,Bỏ dở,42.0,Positive,,,
145.0,5,1,2022-01-06,2022-01-10,2.0,Không hay lắm,Đã đọc xong,90.0,Negative,,,
146.0,6,41,2022-10-05,2022-10-08,1.0,Hơi chán,Đã đọc xong,82.0,Negative,,,
147.0,8,14,2022-05-17,2022-05-23,4.0,Rất hay,Chưa bắt đầu,52.0,Positive,,,
148.0,10,8,2022-06-15,2022-06-25,2.0,Nội dung yếu,Bỏ dở,43.0,Negative,,,
149.0,10,16,2022-07-12,2022-07-20,3.0,Ổn áp,Đã đọc xong,76.0,Negative,,,
150.0,5,43,2022-02-09,2022-02-19,4.0,Rất hay,Đã đọc xong,53.0,Positive,,,
151.0,10,25,2023-09-12,2023-09-17,1.0,Hơi chán,Đang đọc,69.0,Negative,,,
152.0,2,45,2023-07-17,2023-07-27,5.0,Cực kỳ cuốn hút,Đã đọc xong,13.0,Positive,,,
153.0,5,19,2023-07-12,2023-07-20,3.0,Ổn áp,Đã đọc xong,31.0,Positive,,,
154.0,1,6,2023-12-01,2023-12-09,3.0,Ổn áp,Chưa bắt đầu,75.0,Negative,,,
155.0,8,29,2023-06-05,2023-06-09,5.0,Đáng đọc,Đã đọc xong,50.0,Positive,,,
156.0,9,45,2023-11-18,2023-11-23,5.0,Đáng đọc,Bỏ dở,31.0,Positive,,,
157.0,2,24,2023-03-17,2023-03-27,3.0,Ổn áp,Chưa bắt đầu,43.0,Positive,,,
158.0,2,5,2023-03-07,2023-03-11,4.0,Cực kỳ cuốn hút,Bỏ dở,25.0,Positive,,,
159.0,6,27,2023-06-06,2023-06-16,3.0,Ổn áp,Bỏ dở,27.0,Negative,,,
160.0,7,18,2023-01-01,2023-01-06,5.0,Rất hay,Đã đọc xong,84.0,Positive,,,
161.0,10,29,2023-07-18,2023-07-24,4.0,Đáng đọc,Bỏ dở,13.0,Positive,,,
162.0,1,38,2023-09-06,2023-09-13,5.0,Đáng đọc,Bỏ dở,45.0,Positive,,,
163.0,2,27,2023-01-12,2023-01-15,4.0,Rất hay,Chưa bắt đầu,59.0,Positive,,,
164.0,1,5,2023-05-06,2023-05-11,5.0,Rất hay,Chưa bắt đầu,61.0,Positive,,,
165.0,9,31,2023-06-02,2023-06-10,3.0,Ổn áp,Chưa bắt đầu,43.0,Negative,,,
166.0,7,40,2023-02-17,2023-02-26,4.0,Đáng đọc,Đã đọc xong,31.0,Positive,,,
167.0,7,29,2023-02-12,2023-02-15,4.0,Cực kỳ cuốn hút,Chưa bắt đầu,94.0,Positive,,,
168.0,10,21,2023-09-09,2023-09-16,4.0,Đáng đọc,Bỏ dở,64.0,Positive,,,
169.0,2,34,2023-11-03,2023-11-08,1.0,Nội dung yếu,Đã đọc xong,93.0,Negative,,,
170.0,8,14,2023-05-07,2023-05-15,2.0,Không hay lắm,Đang đọc,16.0,Negative,,,
171.0,7,43,2023-05-19,2023-05-27,1.0,Nội dung yếu,Bỏ dở,66.0,Negative,,,
172.0,4,5,2023-07-15,2023-07-20,5.0,Rất hay,Chưa bắt đầu,89.0,Positive,,,
173.0,4,7,2023-11-06,2023-11-14,3.0,Ổn áp,Đã đọc xong,28.0,Negative,,,
174.0,2,6,2023-10-10,2023-10-15,1.0,Hơi chán,Bỏ dở,88.0,Negative,,,
175.0,8,27,2023-10-16,2023-10-26,3.0,Ổn áp,Đã đọc xong,96.0,Negative,,,
176.0,3,34,2023-09-14,2023-09-20,1.0,Hơi chán,Bỏ dở,59.0,Negative,,,
177.0,1,39,2023-06-18,2023-06-26,2.0,Không hay lắm,Đã đọc xong,69.0,Negative,,,
178.0,4,34,2023-02-09,2023-02-18,5.0,Cực kỳ cuốn hút,Chưa bắt đầu,55.0,Positive,,,
179.0,4,32,2023-08-09,2023-08-15,4.0,Cực kỳ cuốn hút,Chưa bắt đầu,14.0,Positive,,,
180.0,10,7,2023-02-19,2023-02-26,4.0,Đáng đọc,Đã đọc xong,10.0,Positive,,,
181.0,6,21,2023-04-08,2023-04-17,4.0,Cực kỳ cuốn hút,Đang đọc,24.0,Positive,,,
182.0,1,16,2023-05-09,2023-05-19,5.0,Cực kỳ cuốn hút,Đã đọc xong,17.0,Positive,,,
183.0,1,19,2023-11-07,2023-11-10,4.0,Đáng đọc,Đã đọc xong,80.0,Positive,,,
184.0,4,21,2023-04-11,2023-04-14,3.0,Ổn áp,Đang đọc,58.0,Negative,,,
185.0,8,32,2023-02-07,2023-02-14,1.0,Nội dung yếu,Chưa bắt đầu,14.0,Negative,,,
186.0,3,41,2023-09-10,2023-09-16,2.0,Hơi chán,Chưa bắt đầu,63.0,Negative,,,
187.0,7,45,2023-05-14,2023-05-19,1.0,Nội dung yếu,Bỏ dở,40.0,Negative,,,
188.0,7,19,2023-07-07,2023-07-14,2.0,Không hay lắm,Chưa bắt đầu,36.0,Negative,,,
189.0,9,10,2023-02-17,2023-02-23,1.0,Nội dung yếu,Bỏ dở,62.0,Negative,,,
190.0,10,11,2023-07-11,2023-07-20,1.0,Không hay lắm,Bỏ dở,29.0,Negative,,,
191.0,2,8,2023-01-19,2023-01-27,1.0,Không hay lắm,Bỏ dở,86.0,Negative,,,
192.0,4,9,2023-02-05,2023-02-12,2.0,Không hay lắm,Chưa bắt đầu,49.0,Negative,,,
193.0,3,30,2023-04-06,2023-04-12,5.0,Đáng đọc,Đã đọc xong,73.0,Positive,,,
194.0,6,30,2023-12-13,2023-12-21,2.0,Hơi chán,Chưa bắt đầu,62.0,Negative,,,
195.0,6,4,2023-06-13,2023-06-22,3.0,Ổn áp,Đã đọc xong,64.0,Negative,,,
196.0,1,2,2023-11-12,2023-11-19,4.0,Rất hay,Đang đọc,86.0,Positive,,,
197.0,9,48,2023-04-04,2023-04-13,3.0,Ổn áp,Đã đọc xong,39.0,Positive,,,
198.0,1,26,2023-03-20,2023-03-23,3.0,Ổn áp,Bỏ dở,72.0,Positive,,,
199.0,7,17,2023-04-18,2023-04-27,5.0,Cực kỳ cuốn hút,Đã đọc xong,52.0,Positive,,,
200.0,9,23,2023-12-15,2023-12-21,2.0,Nội dung yếu,Chưa bắt đầu,62.0,Negative,,,
201.0,1,39,2025-09-08,2025-09-14,1.0,Không hay lắm,Chưa bắt đầu,36.0,Negative,,,
202.0,9,8,2025-04-06,2025-04-09,4.0,Rất hay,Chưa bắt đầu,23.0,Positive,,,
203.0,3,33,2025-10-01,2025-10-06,3.0,Ổn áp,Đang đọc,25.0,Positive,,,
204.0,10,15,2025-06-03,2025-06-11,2.0,Không hay lắm,Đã đọc xong,65.0,Negative,,,
205.0,8,14,2025-09-09,2025-09-12,1.0,Không hay lắm,Chưa bắt đầu,29.0,Negative,,,
206.0,2,38,2025-01-14,2025-01-18,1.0,Không hay lắm,Đang đọc,95.0,Negative,,,
207.0,6,21,2025-01-18,2025-01-26,4.0,Đáng đọc,Đang đọc,52.0,Positive,,,
208.0,5,5,2025-05-18,2025-05-25,5.0,Đáng đọc,Bỏ dở,88.0,Positive,,,
209.0,3,23,2025-03-04,2025-03-10,4.0,Đáng đọc,Đang đọc,45.0,Positive,,,
210.0,9,42,2025-05-08,2025-05-15,4.0,Rất hay,Bỏ dở,71.0,Positive,,,
211.0,6,10,2025-03-01,2025-03-04,4.0,Đáng đọc,Chưa bắt đầu,81.0,Positive,,,
212.0,4,29,2025-08-14,2025-08-24,3.0,Ổn áp,Bỏ dở,95.0,Positive,,,
213.0,9,37,2025-06-17,2025-06-26,3.0,Ổn áp,Bỏ dở,74.0,Positive,,,
214.0,7,8,2025-01-20,2025-01-30,1.0,Hơi chán,Đang đọc,35.0,Negative,,,
215.0,9,49,2025-11-16,2025-11-22,4.0,Đáng đọc,Chưa bắt đầu,39.0,Positive,,,
216.0,6,30,2025-12-09,2025-12-14,2.0,Hơi chán,Chưa bắt đầu,81.0,Negative,,,
217.0,3,34,2025-11-04,2025-11-11,5.0,Đáng đọc,Bỏ dở,25.0,Positive,,,
218.0,10,16,2025-11-17,2025-11-25,5.0,Cực kỳ cuốn hút,Đã đọc xong,60.0,Positive,,,
219.0,7,37,2025-11-12,2025-11-22,1.0,Nội dung yếu,Bỏ dở,48.0,Negative,,,
220.0,3,28,2025-02-20,2025-03-01,4.0,Cực kỳ cuốn hút,Bỏ dở,96.0,Positive,,,
221.0,4,24,2025-01-09,2025-01-17,2.0,Hơi chán,Chưa bắt đầu,74.0,Negative,,,
222.0,10,12,2025-02-14,2025-02-21,3.0,Ổn áp,Đang đọc,80.0,Negative,,,
223.0,7,15,2025-08-07,2025-08-15,2.0,Không hay lắm,Đang đọc,48.0,Negative,,,
224.0,2,8,2025-01-02,2025-01-11,5.0,Rất hay,Đang đọc,62.0,Positive,,,
225.0,9,12,2025-08-18,2025-08-22,4.0,Rất hay,Chưa bắt đầu,10.0,Positive,,,
226.0,2,49,2025-03-03,2025-03-11,5.0,Rất hay,Chưa bắt đầu,77.0,Positive,,,
227.0,4,36,2025-05-17,2025-05-22,3.0,Ổn áp,Đã đọc xong,60.0,Positive,,,
228.0,1,10,2025-09-11,2025-09-18,4.0,Đáng đọc,Bỏ dở,39.0,Positive,,,
229.0,1,15,2025-12-17,2025-12-20,3.0,Ổn áp,Đang đọc,55.0,Positive,,,
230.0,7,41,2025-09-10,2025-09-20,5.0,Cực kỳ cuốn hút,Đã đọc xong,88.0,Positive,,,
231.0,2,13,2025-06-06,2025-06-14,2.0,Nội dung yếu,Chưa bắt đầu,23.0,Negative,,,
232.0,9,39,2025-07-09,2025-07-15,3.0,Ổn áp,Chưa bắt đầu,63.0,Positive,,,
233.0,8,47,2025-04-06,2025-04-14,2.0,Nội dung yếu,Đã đọc xong,58.0,Negative,,,
234.0,3,31,2025-08-18,2025-08-27,4.0,Cực kỳ cuốn hút,Đang đọc,53.0,Positive,,,
235.0,8,41,2025-12-05,2025-12-12,3.0,Ổn áp,Đã đọc xong,51.0,Positive,,,
236.0,10,18,2025-03-06,2025-03-09,4.0,Cực kỳ cuốn hút,Bỏ dở,15.0,Positive,,,
237.0,7,17,2025-08-10,2025-08-17,4.0,Đáng đọc,Đang đọc,53.0,Positive,,,
238.0,7,45,2025-11-08,2025-11-11,3.0,Ổn áp,Đã đọc xong,22.0,Positive,,,
239.0,7,47,2025-10-14,2025-10-20,2.0,Hơi chán,Đã đọc xong,83.0,Negative,,,
240.0,3,22,2025-05-10,2025-05-17,2.0,Hơi chán,Bỏ dở,43.0,Negative,,,
241.0,6,44,2025-07-04,2025-07-13,3.0,Ổn áp,Đang đọc,100.0,Negative,,,
242.0,7,19,2025-04-14,2025-04-20,2.0,Nội dung yếu,Chưa bắt đầu,61.0,Negative,,,
243.0,2,41,2025-03-16,2025-03-26,1.0,Nội dung yếu,Đang đọc,71.0,Negative,,,
244.0,9,24,2025-05-09,2025-05-13,4.0,Cực kỳ cuốn hút,Chưa bắt đầu,24.0,Positive,,,
245.0,7,22,2025-01-15,2025-01-22,1.0,Nội dung yếu,Đã đọc xong,30.0,Negative,,,
246.0,4,35,2025-01-11,2025-01-17,2.0,Hơi chán,Đang đọc,70.0,Negative,,,
247.0,6,2,2025-08-20,2025-08-27,5.0,Cực kỳ cuốn hút,Chưa bắt đầu,89.0,Positive,,,
248.0,6,1,2025-05-14,2025-05-24,1.0,Hơi chán,Đang đọc,85.0,Negative,,,
249.0,2,47,2025-02-07,2025-02-13,4.0,Rất hay,Đã đọc xong,96.0,Positive,,,
250.0,2,8,2025-04-02,2025-04-10,1.0,Nội dung yếu,Bỏ dở,99.0,Negative,,,
,11,12,2024-09-01 00:00:00,,,,,,,251.0,244.0,104.0
,11,39,2023-01-02 00:00:00,,,,,,,252.0,120.0,125.0
,11,34,2024-07-18 00:00:00,,,,,,,253.0,285.0,152.0
,11,46,2024-04-03 00:00:00,,,,,,,254.0,83.0,66.0
,11,11,2023-08-02 00:00:00,,,,,,,255.0,162.0,120.0
,11,27,2023-01-12 00:00:00,,,,,,,256.0,74.0,179.0
