session_id,user_id,book_id,ngay,gio_bat_dau,gio_ket_thuc,thoi_gian_doc_phut,so_trang_da_doc
127,157,48,2023-10-05,16:00,17:00,19,6
128,15,12,2023-08-05,15:00,16:00,19,13
129,301,69,2023-08-23,18:00,19:00,43,12
130,65,37,2023-12-06,12:00,13:00,24,22
131,345,32,2023-04-12,17:00,18:00,22,8
132,327,9,2023-10-04,20:00,21:00,24,29
133,9,99,2023-12-03,10:00,11:00,21,7
134,344,19,2023-10-18,07:00,08:00,43,5
135,129,48,2023-08-10,20:00,21:00,10,8
136,492,80,2023-07-01,09:00,10:00,38,16
137,136,3,2023-03-08,14:00,15:00,26,21
138,472,20,2023-12-25,13:00,14:00,32,7
139,63,24,2023-02-19,17:00,18:00,53,25
140,139,54,2023-04-15,19:00,20:00,24,14
141,499,33,2023-09-11,18:00,19:00,37,21
142,81,24,2023-03-05,11:00,12:00,22,19
143,392,75,2023-01-25,19:00,20:00,29,8
144,163,72,2023-10-01,07:00,08:00,32,22
145,419,36,2023-06-17,12:00,13:00,28,26
146,289,38,2023-06-20,16:00,17:00,21,22
147,379,84,2023-03-15,13:00,14:00,35,14
148,261,99,2023-03-05,07:00,08:00,50,30
149,490,89,2023-11-06,12:00,13:00,35,18
150,231,99,2023-05-06,13:00,14:00,38,18
151,41,25,2025-10-22,10:00,11:00,16,28
152,28,93,2025-05-14,13:00,14:00,26,6
153,135,18,2025-05-14,17:00,18:00,58,18
154,201,82,2025-05-23,12:00,13:00,58,16
155,328,66,2025-01-24,14:00,15:00,47,16
156,268,54,2025-03-07,15:00,16:00,22,12
157,418,35,2025-11-21,09:00,10:00,47,6
158,33,80,2025-05-08,16:00,17:00,29,21
159,48,61,2025-04-12,20:00,21:00,44,11
160,407,41,2025-08-02,16:00,17:00,15,24
161,62,100,2025-01-01,08:00,09:00,27,9
162,216,33,2025-09-24,18:00,19:00,54,17
163,293,68,2025-03-11,17:00,18:00,28,28
164,99,33,2025-03-23,20:00,21:00,11,10
165,172,14,2025-01-16,18:00,19:00,23,15
166,360,21,2025-04-11,14:00,15:00,51,6
167,214,48,2025-12-06,20:00,21:00,29,19
168,475,20,2025-03-23,10:00,11:00,48,12
169,35,8,2025-04-12,16:00,17:00,41,25
170,449,7,2025-06-06,18:00,19:00,58,11
171,227,67,2025-05-21,15:00,16:00,16,5
172,101,17,2025-04-02,12:00,13:00,59,16
173,431,33,2025-11-17,16:00,17:00,11,21
174,462,48,2025-02-15,09:00,10:00,36,5
175,131,76,2025-01-11,08:00,09:00,16,25
176,257,59,2025-02-05,10:00,11:00,49,30
177,5,86,2025-06-14,14:00,15:00,57,11
178,218,22,2025-11-17,09:00,10:00,37,10
179,255,30,2025-09-01,10:00,11:00,42,14
180,398,38,2025-12-06,19:00,20:00,29,9
181,359,51,2025-07-20,20:00,21:00,29,29
182,283,54,2025-02-15,15:00,16:00,39,20
183,393,8,2025-04-18,12:00,13:00,15,9
184,207,27,2025-11-04,16:00,17:00,29,11
185,15,27,2025-04-21,20:00,21:00,56,10
186,346,98,2025-10-16,09:00,10:00,33,9
187,42,21,2025-08-05,09:00,10:00,21,15
188,380,30,2025-01-16,13:00,14:00,41,8
189,461,97,2025-02-16,21:00,22:00,14,19
190,179,28,2025-12-07,15:00,16:00,43,11
191,63,64,2025-06-20,18:00,19:00,46,15
192,352,97,2025-01-25,11:00,12:00,57,30
193,231,69,2025-05-09,20:00,21:00,59,22
194,241,61,2025-10-09,11:00,12:00,20,19
195,52,48,2025-02-24,11:00,12:00,60,20
196,96,19,2025-03-10,13:00,14:00,53,30
197,388,4,2025-08-13,17:00,18:00,21,8
198,222,35,2025-09-07,17:00,18:00,16,15
199,485,64,2025-07-16,10:00,11:00,12,25
200,407,49,2025-01-12,11:00,12:00,52,23
